time;x;y;fx;fy
63;120;-120;0;0
126;120;-120;0;0
189;120;-120;0;0
252;120;-120;0;0
315;120;-120;0;0
378;120;-120;0;0
441;120;-120;0;0
504;120;-120;0;0
567;120;-120;0;0
630;120;-120;0;0
693;120;-120;0;0
756;120;-120;0;0
819;120;-120;0;48
882;120;-120;0;48
945;120;-120;0;48
1008;120;-120;0;48
1071;120;-120;0;48
1134;120;-118;0;145
1197;120;-114;0;145
1260;120;-114;0;145
1323;120;-110;0;145
1386;120;-108;0;145
1449;120;-105;0;237
1512;120;-102;0;237
1575;120;-95;0;237
1638;120;-92;0;237
1701;120;-89;0;237
1764;120;-85;0;235
1827;120;-79;0;235
1890;120;-75;0;235
1953;120;-72;0;235
2016;120;-65;0;232
2079;120;-62;0;232
2142;120;-59;0;232
2205;120;-55;0;232
2268;120;-52;0;232
2331;120;-45;-29;219
2394;120;-42;-29;219
2457;120;-39;-29;219
2520;120;-35;-29;219
2583;120;-29;-45;219
2646;120;-26;-45;231
2709;120;-22;-45;231
2772;120;-19;-45;231
2835;120;-12;-45;231
2898;120;-9;-45;231
2961;120;-6;-63;231
3024;120;-3;-63;226
3087;120;3;-63;226
3150;120;6;-63;226
3213;120;10;-63;226
3276;120;13;-77;226
3339;120;20;-77;235
3402;120;23;-77;235
3465;120;26;-77;235
3528;120;30;-77;235
3591;120;36;-78;223
3654;120;40;-78;223
3717;120;43;-78;223
3780;120;46;-78;223
3843;120;53;-70;223
3906;120;56;-70;168
3969;120;58;-70;168
4032;120;63;-70;168
4095;120;66;-70;168
4158;120;68;-71;168
4221;120;71;-71;168
4284;120;73;-71;167
4347;120;78;-71;167
4410;120;80;-71;167
4473;120;83;-74;167
4536;120;85;-74;167
4599;120;90;-74;156
4662;120;92;-74;156
4725;120;94;-74;156
4788;120;96;-67;156
4851;120;100;-67;115
4914;120;102;-67;115
4977;120;103;-67;115
5040;120;105;-67;115
5103;120;108;-68;115
5166;120;109;-68;115
5229;120;110;-68;88
5292;120;110;-68;88
5355;120;110;-68;88
5418;120;110;-65;88
5481;120;110;-65;88
5544;120;110;-65;109
5607;120;110;-65;109
5670;120;110;-65;109
5733;120;110;-65;109
5796;120;110;-65;109
5859;120;112;-65;130
5922;120;114;-65;130
5985;120;116;-65;130
6048;120;117;-61;130
6111;120;120;-61;67
6174;120;120;-61;67
6237;120;120;-61;67
6300;120;120;-61;67
6363;120;120;-56;67
6426;120;120;-56;-29
6489;120;120;-56;-29
6552;120;120;-56;-29
6615;120;120;-76;-29
6678;120;120;-76;0
6741;120;120;-76;0
6804;120;120;-76;0
6867;120;120;-76;0
6930;120;120;-86;0
6993;120;120;-86;-30
7056;120;120;-86;-30
7119;120;120;-86;-30
7182;120;120;-86;-30
7245;120;120;-86;-30
7308;120;120;-87;-30
7371;120;120;-87;-32
7434;120;120;-87;-32
7497;120;120;-87;-32
7560;120;120;-87;-32
7623;117;120;-132;-42
7686;115;120;-132;-42
7749;113;120;-132;-42
7812;111;120;-132;-42
7875;107;120;-183;-42
7938;104;120;-183;-89
8001;102;120;-183;-89
8064;99;120;-183;-89
8127;93;120;-183;-89
8190;91;120;-92;-89
8253;91;118;-92;-301
8316;91;115;-92;-301
8379;91;107;-92;-301
8442;91;104;-92;-301
8505;91;100;0;-301
8568;91;97;0;-178
8631;91;92;0;-178
8694;91;89;0;-178
8757;91;87;0;-178
8820;91;84;-172;-178
8883;87;82;-172;-87
8946;84;82;-172;-87
9009;82;82;-172;-87
9072;79;82;-172;-87
9135;73;82;-221;-160
9198;70;79;-221;-160
9261;67;77;-221;-160
9324;64;74;-221;-160
9387;57;69;-221;-160
9450;57;67;-79;-160
9513;57;63;-79;-340
9576;57;60;-79;-340
9639;57;52;-79;-340
9702;57;49;-79;-340
9765;55;45;-142;-340
9828;54;42;-142;-173
9891;50;37;-142;-173
9954;47;35;-142;-173
10017;45;32;-142;-173
10080;43;30;-188;-173
10143;38;26;-188;-132
10206;35;24;-188;-132
10269;33;22;-188;-132
10332;30;21;-188;-132
10395;26;17;-123;-172
10458;25;14;-123;-172
10521;23;12;-123;-172
10584;21;9;-123;-172
10647;18;4;-180;-172
10710;15;2;-180;-163
10773;13;0;-180;-163
10836;10;-2;-180;-163
10899;5;-7;-180;-163
10962;2;-10;-207;-163
11025;0;-12;-207;-148
11088;-3;-14;-207;-148
11151;-10;-18;-207;-148
11214;-13;-20;-207;-148
11277;-17;-22;-184;-148
11340;-19;-24;-184;-137
11403;-24;-28;-184;-137
11466;-27;-30;-184;-137
11529;-29;-32;-184;-137
11592;-32;-34;-184;-137
11655;-32;-38;-110;-189
11718;-32;-41;-110;-189
11781;-32;-44;-110;-189
11844;-32;-46;-110;-189
11907;-34;-52;-156;-189
11970;-36;-53;-156;-110
12033;-38;-53;-156;-110
12096;-41;-53;-156;-110
12159;-45;-53;-156;-110
12222;-48;-53;-235;-110
12285;-52;-53;-235;-109
12348;-56;-53;-235;-109
12411;-63;-53;-235;-109
12474;-67;-53;-235;-109
12537;-71;-53;-235;-109
12600;-74;-55;-113;-216
12663;-77;-61;-113;-216
12726;-78;-65;-113;-216
12789;-79;-68;-113;-216
12852;-81;-71;-113;-216
12915;-84;-77;-112;-171
12978;-85;-80;-112;-171
13041;-87;-82;-112;-171
13104;-88;-85;-112;-171
13167;-92;-90;-201;-115
13230;-95;-91;-201;-115
13293;-98;-93;-201;-115
13356;-105;-96;-201;-115
13419;-108;-97;-201;-115
13482;-112;-99;-141;-162
13545;-114;-101;-141;-162
13608;-118;-106;-141;-162
13671;-120;-108;-141;-162
13734;-122;-110;-141;-162
13797;-124;-112;-141;-162
13860;-124;-112;-40;-65
13923;-124;-112;-40;-65
13986;-124;-112;-40;-65
14049;-124;-112;-40;-65
14112;-124;-112;-40;-65
14175;-124;-112;0;29
14238;-124;-112;0;29
14301;-124;-112;0;29
14364;-124;-112;0;29
14427;-124;-112;0;29
14490;-124;-112;0;0
14553;-124;-112;0;0
14616;-124;-112;0;0
14679;-124;-112;0;0
14742;-124;-112;0;0
14805;-124;-112;0;0
14868;-124;-112;0;0
14931;-124;-112;0;0
14994;-124;-112;104;0
15057;-124;-112;104;0
15120;-124;-112;104;0
15183;-124;-112;104;0
15246;-124;-112;104;0
15309;-123;-112;404;0
15372;-119;-112;404;0
15435;-112;-112;404;0
15498;-109;-112;404;0
15561;-105;-112;404;0
15624;-101;-112;379;0
15687;-94;-112;379;0
15750;-90;-112;379;0
15813;-87;-112;379;0
15876;-80;-112;379;0
15939;-76;-112;440;0
16002;-72;-112;440;0
16065;-69;-112;440;0
16128;-62;-112;440;0
16191;-58;-112;440;0
16254;-54;-112;492;0
16317;-51;-112;492;0
16380;-43;-112;492;0
16443;-40;-112;492;0
16506;-36;-112;492;0
16569;-32;-112;501;0
16632;-25;-112;501;0
16695;-21;-112;501;0
16758;-18;-112;501;0
16821;-14;-112;501;0
16884;-10;-112;476;0
16947;-3;-112;476;-27
17010;0;-112;476;-27
17073;3;-112;476;-27
17136;7;-112;476;-27
17199;14;-112;443;-27
17262;18;-112;443;-41
17325;22;-112;443;-41
17388;25;-112;443;-41
17451;33;-112;353;-41
17514;36;-112;353;-41
17577;40;-112;353;-97
17640;47;-112;353;-97
17703;51;-112;353;-97
17766;55;-112;272;-97
17829;64;-112;272;-70
17892;64;-112;272;-70
17955;74;-112;272;-70
18018;78;-112;272;-70
18081;83;-112;272;-70
18144;86;-112;210;-70
18207;93;-112;210;-47
18270;96;-112;210;-47
18333;99;-112;210;-47
18396;103;-112;30;-47
18459;103;-112;30;-47
18522;103;-112;30;0
18585;103;-112;30;0
18648;103;-112;30;0
18711;103;-112;0;0
18774;103;-112;0;0
18837;103;-112;0;0
18900;103;-112;0;0
18963;103;-112;0;0
19026;105;-112;177;0
19089;110;-112;177;0
19152;112;-112;177;0
19215;115;-112;177;0
19278;117;-112;177;0
19341;119;-112;34;0
19404;119;-112;34;0
19467;119;-111;34;242
19530;119;-107;34;242
19593;119;-104;34;242
19656;119;-96;0;242
19719;119;-93;-60;242
19782;119;-89;-60;0
19845;119;-89;-60;0
19908;119;-89;-60;0
19971;119;-89;-60;0
20034;119;-89;-120;0
20097;115;-89;-120;0
20160;114;-89;-120;0
20223;112;-89;-120;0
20286;110;-89;-120;0
20349;109;-89;-120;0
20412;108;-89;-106;0
20475;108;-89;-106;0
20538;108;-89;-106;0
20601;108;-89;-106;0
20664;108;-89;-54;0
20727;108;-86;-54;268
20790;108;-81;-54;268
20853;108;-72;-54;268
20916;108;-72;-54;268
20979;107;-63;-115;268
21042;106;-61;-115;0
21105;104;-61;-115;0
21168;101;-61;-115;0
21231;100;-61;-115;0
21294;99;-62;-107;-213
21357;99;-66;-107;-213
21420;99;-72;-107;-213
21483;99;-76;-107;-213
21546;99;-79;-107;-213
21609;97;-81;-113;-31
21672;97;-81;-113;-31
21735;94;-81;-113;-31
21798;92;-81;-113;-31
21861;91;-81;-113;-31
21924;87;-81;-151;0
21987;85;-81;-151;0
22050;82;-81;-151;0
22113;80;-81;-151;0
22176;75;-81;-80;0
22239;75;-81;-80;278
22302;75;-76;-80;278
22365;75;-71;-80;278
22428;75;-62;-80;278
22491;75;-57;-80;278
22554;75;-53;-70;278
22617;75;-51;-70;116
22680;75;-48;-70;116
22743;75;-46;-70;116
22806;75;-45;-70;116
22869;73;-43;-211;116
22932;66;-47;-211;-156
22995;63;-49;-211;-156
23058;60;-51;-211;-156
23121;53;-56;-207;-156
23184;53;-56;-207;-156
23247;47;-56;-207;26
23310;44;-56;-207;26
23373;38;-56;-207;26
23436;36;-56;-121;26
23499;34;-54;-121;456
23562;33;-51;-121;456
23625;31;-47;-121;456
23688;28;-39;-121;456
23751;26;-35;-189;456
23814;24;-32;-189;0
23877;21;-32;-189;0
23940;15;-32;-189;0
24003;12;-32;-189;0
24066;9;-32;-250;0
24129;1;-32;-250;72
24192;1;-32;-250;72
24255;-5;-32;-250;72
24318;-9;-32;-250;72
24381;-13;-32;-68;1354
24444;-13;-28;-68;1354
24507;-13;-25;-68;1354
24570;-13;-21;-68;1354
24633;-13;-17;-68;1354
24696;-13;-10;-52;1354
24759;-13;-6;-52;441
24822;-13;-3;-52;441
24885;-13;3;-52;441
24948;-13;7;-52;441
25011;-13;11;-61;441
25074;-13;14;-61;169
25137;-13;16;-61;169
25200;-13;21;-61;169
25263;-13;24;-61;169
25326;-13;26;-63;169
25389;-13;29;-63;296
25452;-13;37;-63;296
25515;-13;40;-63;296
25578;-13;44;-63;296
25641;-13;47;-55;296
25704;-13;50;-55;143
25767;-13;54;-55;143
25830;-13;56;-55;143
25893;-14;60;-179;143
25956;-17;62;-179;0
26019;-19;62;-179;0
26082;-22;62;-179;0
26145;-25;62;-179;0
26208;-31;62;-233;0
26271;-35;62;-233;0
26334;-39;62;-233;-29
26397;-46;62;-233;-29
26460;-46;62;-233;-29
26523;-54;62;-106;-29
26586;-54;62;-106;441
26649;-54;66;-106;441
26712;-54;73;-106;441
26775;-54;77;-106;441
26838;-54;80;-106;441
26901;-57;87;-127;441
26964;-59;88;-127;59
27027;-60;88;-127;59
27090;-62;88;-127;59
27153;-64;88;-127;59
27216;-67;88;-222;59
27279;-75;88;-222;-59
27342;-78;88;-222;-59
27405;-82;88;-222;-59
27468;-89;88;-154;-59
27531;-91;88;-154;-59
27594;-94;89;-154;171
27657;-98;94;-154;171
27720;-98;94;-154;171
27783;-101;99;-56;171
27846;-101;104;-56;153
27909;-101;104;-56;153
27972;-101;108;-56;153
28035;-101;110;-56;153
28098;-101;112;-48;153
28161;-101;114;-48;153
28224;-101;116;-48;0
28287;-101;116;-48;0
28350;-101;116;-48;0
28413;-101;116;-86;0
28476;-101;116;-86;0
28539;-101;116;-86;0
28602;-101;116;-86;0
28665;-101;116;-86;0
28728;-101;116;-104;0
28791;-101;116;-104;0
28854;-101;116;-104;0
28917;-101;116;-104;0
28980;-101;116;-104;0
29043;-103;116;-144;0
29106;-105;116;-144;0
29169;-109;116;-144;69
29232;-109;116;-144;69
29295;-113;116;-144;69
29358;-115;116;-189;69
29421;-121;116;-189;69
29484;-121;116;-189;69
29547;-127;116;-189;0
29610;-130;116;-189;0
29673;-131;116;-57;0
29736;-131;116;-57;0
29799;-131;116;-57;34
29862;-131;116;-57;34
29925;-131;116;0;34
29988;-131;116;0;34
30051;-131;116;0;34
30114;-131;116;0;0
30177;-131;116;0;0
30240;-131;116;0;0
30303;-131;116;0;0
30366;-131;116;0;-84
30429;-131;116;0;-84
30492;-131;116;0;-84
30555;-131;116;0;-84
30618;-131;116;0;-84
30681;-131;112;0;-199
30744;-131;109;0;-199
30807;-131;106;0;-199
30870;-131;102;0;-199
30933;-131;96;0;-213
30996;-131;96;0;-213
31059;-131;89;0;-213
31122;-131;86;0;-213
31185;-131;82;0;-213
31248;-131;76;28;-213
31311;-131;72;28;-212
31374;-131;69;28;-212
31437;-131;62;28;-212
31500;-131;62;28;-212
31563;-131;56;33;-212
31626;-131;51;33;-244
31689;-131;42;33;-244
31752;-131;37;33;-244
31815;-131;33;33;-244
31878;-131;28;0;-244
31941;-131;19;0;-219
32004;-131;16;0;-219
32067;-131;13;0;-219
32130;-131;9;0;-219
32193;-131;3;0;-219
32256;-131;3;0;-219
32319;-131;-3;0;-196
32382;-131;-6;0;-196
32445;-131;-13;0;-196
32508;-131;-13;0;-196
32571;-131;-19;0;-202
32634;-131;-23;0;-202
32697;-131;-26;0;-202
32760;-131;-29;0;-202
32823;-131;-36;49;-202
32886;-131;-39;49;-190
32949;-131;-45;49;-190
33012;-131;-47;49;-190
33075;-131;-50;67;-190
33138;-131;-53;67;-190
33201;-131;-58;67;-161
33264;-131;-61;67;-161
33327;-131;-63;67;-161
33390;-131;-66;67;-161
33453;-131;-71;97;-161
33516;-131;-73;97;-147
33579;-131;-75;97;-147
33642;-131;-79;97;-147
33705;-131;-81;98;-147
33768;-131;-83;98;-147
33831;-131;-85;98;-133
33894;-131;-87;98;-133
33957;-131;-90;98;-133
34020;-131;-92;82;-133
34083;-131;-94;82;-133
34146;-131;-94;82;-77
34209;-131;-94;82;-77
34272;-131;-94;82;-77
34335;-130;-94;155;-77
34398;-128;-94;155;-77
34461;-123;-94;155;-61
34524;-121;-94;155;-61
34587;-119;-94;155;-61
34650;-117;-94;153;-61
34713;-113;-94;153;-88
34776;-111;-94;153;-88
34839;-109;-94;153;-88
34902;-107;-94;153;-88
34965;-105;-94;0;-88
35028;-105;-94;0;-88
35091;-105;-94;0;-184
35154;-105;-97;0;-184
35217;-105;-102;0;-184
35280;-105;-105;0;-184
35343;-105;-107;0;-184
35406;-105;-110;0;-140
35469;-105;-112;0;-140
35532;-105;-116;68;-140
35595;-105;-118;68;-140
35658;-105;-120;68;-140
35721;-105;-122;68;0
35784;-105;-122;68;0
35847;-105;-122;68;0
35910;-105;-122;0;0
35973;-105;-122;0;0
36036;-105;-122;0;0
36099;-105;-122;0;112
36162;-105;-120;0;112
36225;-103;-117;115;112
36288;-101;-116;115;112
36351;-100;-114;115;112
36414;-98;-114;115;0
36477;-94;-114;476;0
36540;-91;-114;476;0
36603;-87;-114;476;0
36666;-83;-114;476;-38
36729;-76;-114;476;-38
36792;-72;-114;624;-38
36855;-69;-114;624;-38
36918;-65;-114;624;-38
36981;-61;-114;624;0
37044;-54;-114;624;0
37107;-51;-114;646;0
37170;-47;-114;646;0
37233;-40;-114;646;0
37296;-36;-114;646;0
37359;-33;-114;646;0
37422;-29;-114;657;0
37485;-25;-114;657;0
37548;-18;-114;657;0
37611;-14;-114;657;0
37674;-11;-114;657;26
37737;-3;-114;611;26
37800;0;-114;611;26
37863;3;-114;611;26
37926;6;-114;611;26
37989;10;-114;611;26
38052;14;-114;611;38
38115;21;-114;534;38
38178;25;-114;534;38
38241;32;-114;534;38
38304;36;-114;534;60
38367;39;-114;465;60
38430;43;-114;465;60
38493;50;-114;465;60
38556;54;-114;465;60
38619;57;-114;465;0
38682;65;-114;493;0
38745;68;-114;493;0
38808;72;-114;493;0
38871;76;-114;493;0
38934;79;-114;493;0
38997;83;-114;309;0
39060;87;-114;309;0
39123;94;-114;309;-31
39186;98;-114;309;-31
39249;101;-114;309;-31
39312;104;-114;131;-31
39375;108;-114;131;-31
39438;110;-114;131;0
39501;111;-114;131;0
39564;113;-114;131;0
39627;116;-114;38;0
39690;116;-114;38;0
39753;116;-114;38;0
39816;116;-114;38;0
39879;116;-114;38;0
39942;116;-114;0;0
40005;116;-114;0;0
40068;116;-114;0;0
40131;116;-114;0;0
40194;116;-114;0;38
40257;116;-114;0;38
40320;116;-114;0;38
40383;116;-114;0;38
40446;116;-114;0;38
40509;116;-114;0;95
40572;116;-114;0;95
40635;116;-114;0;95
40698;116;-114;0;95
40761;116;-114;0;95
40824;116;-114;-41;101
40887;116;-114;-41;101
40950;116;-114;-41;101
41013;116;-114;-41;101
41076;116;-112;-41;201
41139;116;-109;-75;201
41202;116;-105;-75;201
41265;116;-99;-75;201
41328;116;-96;-75;201
41391;116;-93;-75;115
41454;115;-91;-287;115
41517;107;-89;-287;115
41580;103;-87;-287;115
41643;99;-86;-287;115
41706;95;-85;-287;-54
41769;91;-85;-345;-54
41832;83;-85;-345;-54
41895;79;-85;-345;0
41958;76;-85;-345;0
42021;72;-85;-345;0
42084;68;-81;-69;670
42147;68;-78;-69;670
42210;68;-74;-69;670
42273;68;-70;-69;670
42336;68;-63;-69;670
42399;66;-62;-181;65
42462;63;-62;-181;65
42525;57;-62;-181;65
42588;54;-62;-181;65
42651;51;-62;-181;65
42714;44;-62;-220;0
42777;40;-62;-220;0
42840;37;-62;-220;0
42903;33;-62;-220;0
42966;29;-62;-220;0
43029;27;-67;0;1167
43092;27;-70;0;1167
43155;27;-73;0;1167
43218;27;-77;0;1167
43281;27;-80;0;1167
43344;27;-87;-51;1073
43407;27;-90;-51;1073
43470;27;-94;-51;1073
43533;27;-98;-51;1073
43596;27;-103;-40;1773
43659;27;-100;-40;1773
43722;27;-96;-40;1773
43785;27;-92;-40;1773
43848;27;-89;-40;1773
43911;27;-81;-40;1773
43974;27;-78;-85;306
44037;27;-70;-85;306
44100;27;-67;-85;306
44163;27;-63;-85;306
44226;27;-59;-85;306
44289;25;-52;-145;348
44352;23;-48;-145;348
44415;21;-44;-145;348
44478;17;-36;-145;348
44541;15;-32;-145;348
44604;14;-29;-128;289
44667;12;-25;-128;289
44730;10;-21;-128;289
44793;8;-18;-128;289
44856;5;-11;-128;289
44919;5;-7;-83;567
44982;5;-4;-83;567
45045;5;3;-83;567
45108;5;6;-83;567
45171;5;10;-83;567
45234;1;15;-163;144
45297;0;17;-163;144
45360;-3;19;-163;144
45423;-5;21;-163;144
45486;-8;23;-163;144
45549;-12;31;-166;270
45612;-15;35;-166;270
45675;-17;40;-166;270
45738;-20;45;-166;270
45801;-22;50;-166;270
45864;-24;58;-101;492
45927;-24;61;-101;492
45990;-24;65;-101;492
46053;-24;68;-101;492
46116;-24;72;-101;492
46179;-28;75;-228;0
46242;-36;75;-228;-51
46305;-39;75;-228;-51
46368;-43;75;-228;-51
46431;-47;75;-223;-51
46494;-51;75;-223;-51
46557;-58;75;-223;0
46620;-62;75;-223;0
46683;-66;75;-223;0
46746;-70;75;-223;0
46809;-71;78;-105;564
46872;-71;81;-105;564
46935;-71;89;-105;564
46998;-71;92;-105;564
47061;-72;97;-140;63
47124;-74;97;-140;63
47187;-76;97;-140;63
47250;-78;97;-140;63
47313;-82;97;-140;63
47376;-84;97;-154;27
47439;-86;97;-154;27
47502;-89;97;-154;27
47565;-91;97;-154;27
47628;-93;97;-154;27
47691;-98;99;-123;391
47754;-101;106;-123;391
47817;-103;110;-123;391
47880;-104;114;-123;391
47943;-106;118;-123;391
48006;-108;121;-129;111
48069;-109;123;-129;111
48132;-113;126;-129;111
48195;-114;127;-129;111
48258;-116;128;-129;111
48321;-118;130;-58;-35
48384;-118;130;-58;-35
48447;-118;130;-58;-49
48510;-118;130;-58;-49
48573;-118;130;0;-49
48636;-118;130;0;-49
48699;-118;130;0;-49
48762;-118;130;0;0
48825;-118;130;0;0
48888;-118;130;0;0
48951;-118;130;0;0
49014;-118;130;104;0
49077;-118;130;104;-66
49140;-118;130;104;-66
49203;-118;130;104;-66
49266;-118;130;104;-66
49329;-115;130;295;-66
49392;-108;130;295;-90
49455;-104;130;295;-90
49518;-101;130;295;-90
49581;-93;130;314;-90
49644;-90;130;314;-90
49707;-86;130;314;-82
49770;-79;130;314;-82
49833;-75;130;314;-82
49896;-64;130;311;-88
49959;-61;130;311;-88
50022;-57;130;311;-88
50085;-53;130;311;-88
50148;-50;130;317;-88
50211;-46;130;317;-88
50274;-39;130;317;-85
50337;-35;130;317;-85
50400;-31;130;317;-85
50463;-28;130;341;-85
50526;-20;130;341;-108
50589;-17;130;341;-108
50652;-13;130;341;-108
50715;-9;130;341;-108
50778;-6;130;327;-108
50841;0;130;327;-108
50904;4;130;327;-93
50967;11;130;327;-93
51030;15;130;327;-93
51093;19;130;308;-93
51156;22;130;308;-93
51219;26;130;308;-67
51282;30;130;308;-67
51345;33;130;308;-67
51408;41;130;304;-67
51471;48;130;304;-58
51534;52;130;304;-58
51597;55;130;304;-58
51660;59;130;304;-58
51723;62;130;293;-58
51786;70;130;293;-57
51849;73;130;293;-57
51912;77;130;293;-57
51975;81;130;293;-57
52038;84;130;230;-57
52101;91;130;230;-73
52164;94;130;230;-73
52227;98;130;230;-73
52290;104;130;202;-73
52353;108;130;202;-73
52416;111;130;202;-50
52479;117;130;202;-50
52542;120;130;202;-50
52605;124;130;161;-50
52668;126;130;161;-50
52731;129;130;161;-36
52794;133;130;161;-36
52857;136;130;161;-36
52920;138;130;0;-36
52983;138;130;0;-36
53046;138;130;0;-125
53109;138;126;0;-125
53172;138;124;0;-125
53235;138;123;-27;-125
53298;138;121;-27;-125
53361;138;117;-27;-172
53424;138;114;-27;-172
53487;138;112;-27;-172
53550;138;107;0;-172
;;;;
;;;;
;;;;
;;;;
